drug_code,brand_name,ai_group_no,company_name,drug_identification_number
2030,SANOREX,0109331002,HEXIM PHARMACEUTICALS INC,00285544
2780,SINEQUAN,0107703003,AA PHARMA INC,00400750
5617,SANOREX,0109331001,HEXIM PHARMACEUTICALS INC,00432407
10991,NEO-ZOL CREAM 1%,0110231001,PRESTIGE PHARMA INC,00874043
10992,NEO-ZOL VAGINAL CREAM 1%,0110231001,PRESTIGE PHARMA INC,00874051
10993,NEO-ZOL VAGINAL CREAM 2%,0110231003,PRESTIGE PHARMA INC,00874078
43612,NORVASC TAB 2.5MG,0131437003,PFIZER CANADA INC,00878901
43968,MIACALCIN INJECTION 200IU/ML,0111011001,NOVARTIS PHARMACEUTICALS CANADA INC,02144301
44174,ZADITEN - DPS 1MG/ML,0115676001,NOVARTIS PHARMACEUTICALS CANADA INC,02172585
42924,FLUPHENAZINE DECANOATE INJECTION B.P.,0110769001,HOSPIRA HEALTHCARE CORPORATION,02189089
42925,FLUPHENAZINE DECANOATE INJECTION B.P.,0110769002,HOSPIRA HEALTHCARE CORPORATION,02189097
42929,THROMBATE III,0124256001,GRIFOLS THERAPEUTICS LLC,02189135
42941,HALOPERIDOL DECANOATE INJECTION,0101774007,HOSPIRA HEALTHCARE CORPORATION,02194430
42942,HALOPERIDOL DECANOATE INJECTION,0101774008,HOSPIRA HEALTHCARE CORPORATION,02194449
42972,T-LO,0131275001,SANDOZ CANADA INCORPORATED,02202492
42973,T-LO,0131275002,SANDOZ CANADA INCORPORATED,02202506
36818,PHARMACITRON,0411174012,PHARMASCIENCE INC,02210584
43064,MEPROGEST,0106339004,PFIZER CANADA INC,02212056
43065,MEPROGEST,0106339005,PFIZER CANADA INC,02212064
43066,MEPROGEST,0106339006,PFIZER CANADA INC,02212072
43342,OVRETTE TABLETS,0106394001,PFIZER CANADA INC,02223090
43379,ALPHA1-PROTEINASE INHIBITOR (HUMAN),0120888003,GRIFOLS THERAPEUTICS LLC,02223643
43380,ALPHA1-PROTEINASE INHIBITOR (HUMAN),0120888002,GRIFOLS THERAPEUTICS LLC,02223651
37495,AMPICILLIN FOR INJECTION,0105872008,FRESENIUS KABI CANADA LTD,02227037
47555,REPOZE,0104200011,ASHBURY RESEARCH CORPORATION,02229630
47751,RIGHT CHOICE P.M. MULTI FORMULA - CAPLET,1433220001,BODY WISE INTERNATIONAL LLC,02229686
47760,RIGHT CHOICE A.M. MULTI FORMULA - CAPLET,1333221002,BODY WISE INTERNATIONAL LLC,02229687
47861,ETHICAL HERBAL TEA TREE OIL,0118881003,ASHBURY RESEARCH CORPORATION,02229700
48052,MYO-THER ANTIMICROBIAL SKIN CLEANSER,0108865007,ABJ CUSTOM PACKAGING,02229770
48112,SOULAGEMENT DE L'INDIGESTION,0106568018,LABORATOIRE LALCO INC.,02229787
48119,FORMULA R,0233217001,BODY WISE INTERNATIONAL LLC,02229794
48120,FORMULA EC,0833218001,BODY WISE INTERNATIONAL LLC,02229795
48121,FORMULA CW,0827015002,BODY WISE INTERNATIONAL LLC,02229796
48398,ALPET E-3,0105057001,BEST SANITIZERS INC,02229945
48946,CHEW C BERRY TABLETS - 125MG,0108469040,MORTER HEALTHSYSTEM,02230231
48965,COENZYME Q10 +,0231525001,BODY WISE INTERNATIONAL LLC,02230240
48992,"B. KAMINS, CHEMIST BIO-MAPLE DAY CREAM",0216932024,KAMINS DERMATOLOGICS INC,02230261
48993,"B. KAMINS, CHEMIST BIO-MAPLE DAY LOTION",0116791003,KAMINS DERMATOLOGICS INC,02230262
49008,TRIPACEL,0628682002,SANOFI PASTEUR LIMITED,02230273
49239,SOFLAX EX MICRO-ENEMA,0101506003,PHARMASCIENCE INC,02230400
49246,CLOPIXOL DEPOT 500MG/ML,0127602002,LUNDBECK CANADA INC,02230407
49285,TRIMAX EVENING PRIMROSE CAPSULE,0324126002,CLASSICAL REMEDIA LTD,02230415
49534,HENRY SCHEIN TOPICAL FOAM FLUORIDE,0131278005,ABJ CUSTOM PACKAGING,02230490
49593,DOM-FLUTAMIDE,0116869001,DOMINION PHARMACAL,02230524
49644,ALKADRENERGY TABLETS,2133079001,MORTER HEALTHSYSTEM,02230562
49656,ADRENERGY TABLETS,0533066001,MORTER HEALTHSYSTEM,02230573
49781,DOM-AMOXICILLIN,0131314001,DOMINION PHARMACAL,02230615
49783,DOM-AMOXICILLIN,0131314006,DOMINION PHARMACAL,02230616
49790,DOM-AMOXICILLIN,0131314002,DOMINION PHARMACAL,02230617
49791,DOM-AMOXICILLIN,0131314003,DOMINION PHARMACAL,02230618
49971,SHEN QI DA BU WAN,0133054001,CLASSICAL REMEDIA LTD,02230712
49987,SUPER-CELL,0733057001,BODY WISE INTERNATIONAL LLC,02230726
49988,MALE ADVANTAGE,0109299013,BODY WISE INTERNATIONAL LLC,02230727
49989,FEMALE ADVANTAGE,0216396002,BODY WISE INTERNATIONAL LLC,02230728
50139,WHITE-FACED HORNET VENOM PROTEIN MULTIUSE 13.0 ML (1300MCG),0114084004,JUBILANT HOLLISTERSTIER LLC,02230865
50213,ALKA-KLENSE CAPSULES,0105210021,MORTER HEALTHSYSTEM,02230936
50298,ETHICAL HERBAL'S ST. JOHN'S WORT,0108667023,ASHBURY RESEARCH CORPORATION,02231017
