drug_code,ingredient_name,strength
560,OXYQUINOLINE SULFATE,0.3 %
2030,MAZINDOL,2 MG
2780,DOXEPIN (DOXEPIN HYDROCHLORIDE),75 MG
5617,MAZINDOL,1 MG
10991,CLOTRIMAZOLE,1 %
10992,CLOTRIMAZOLE,1 %
10993,CLOTRIMAZOLE,2 %
21854,DIDECYL DIMETHYL AMMONIUM CHLORIDE,3.906 %
21855,BENZALKONIUM CHLORIDE,8.68 %
22567,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,2.604 %
25876,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,6.51 %
25882,DIDECYL DIMETHYL AMMONIUM CHLORIDE,1.953 %
36396,BENZALKONIUM CHLORIDE,4.34 %
36398,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,1.302 %
36818,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,3.255 %
37495,ISOPROPYL ALCOHOL,99 %
42924,DIDECYL DIMETHYL AMMONIUM CHLORIDE,0.99 %
42925,BENZALKONIUM CHLORIDE,2.2 %
42929,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.66 %
42941,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,1.65 %
42942,DIDECYL DIMETHYL AMMONIUM CHLORIDE,0.684 %
42972,BENZALKONIUM CHLORIDE,1.52 %
42973,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.456 %
43064,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,1.14 %
43065,PHENOL,1.56 %
43066,PHENOLATE SODIUM,0.06 %
43342,PHENOL,1.56 %
43379,PHENOLATE SODIUM,0.06 %
43380,PHENIRAMINE MALEATE,20 MG
43612,PHENYLEPHRINE HYDROCHLORIDE,10 MG
43922,VITAMIN C,50 MG
43968,ACETAMINOPHEN,500 MG
44174,AMPICILLIN (AMPICILLIN SODIUM),125 MG
47555,FLUPHENAZINE DECANOATE,25 MG
47751,FLUPHENAZINE DECANOATE,100 MG
47760,ANTITHROMBIN III (HUMAN),500 UNIT
47861,HALOPERIDOL (HALOPERIDOL DECANOATE),50 MG
48052,HALOPERIDOL (HALOPERIDOL DECANOATE),100 MG
48112,TIMOLOL (TIMOLOL MALEATE),0.25 %
48119,TIMOLOL (TIMOLOL MALEATE),0.5 %
