MCC Medicine Reg. No.	Applicants MCC Licence No	Applicant Name	Nappi Code	ATC 4	Medicine Schedule	Medicine Proprietary Name	Active Ingredients	Strength	Pack Size	Quantity	Manufacturer Price	Logistics Fee	VAT	SEP	Unit Price	Effective Date	Originator or Generic
U4104	0000001154	3M South Africa (Pty) Ltd	703312001	N01BA	S4	Xylestesin-A	Lidocaine Hydrochloride	20 mg/ml INJ	50	1	189.1	31	33.02	253.12	5.06	2018-04-01	Originator
U4104	0000001154	3M South Africa (Pty) Ltd	703312001	N01BA	S4	Xylestesin-A	Adrenaline										
A3840430	0000001154	3M South Africa (Pty) Ltd	710488001	N01BB	S4	Ubistesin	Articaine Hydrochloride	40 mg/ml INJ	50	1	229.91	37.7	40.14	307.76	6.16	2018-04-01	Originator
A3840430	0000001154	3M South Africa (Pty) Ltd	710488001	N01BB	S4	Ubistesin	Adrenaline										
A3840431	0000001154	3M South Africa (Pty) Ltd	710497001	N01BB	S4	Ubistesin Forte	Articaine Hydrochloride	40 mg/ml INJ	50	1	229.91	37.7	40.14	307.76	6.16	2018-04-01	Originator
A3840431	0000001154	3M South Africa (Pty) Ltd	710497001	N01BB	S4	Ubistesin Forte	Adrenaline										
35710372	0000000125	Abbott Laboratories SA Pty Ltd	701855001	C09CA	S3	Teveten 600 	Eprosartan	600 mg TAB	28	1	221.95	22.03	36.6	280.57	10.02		Originator
3621820330	0000000125	Abbott Laboratories SA Pty Ltd	703107001	G03FA	S4	Femoston-Conti 	Dydrogesterone	50 mg TAB	28	1	179.1	19.55	29.8	228.44	8.16	2018-04-01	Originator
3621820329	0000000125	Abbott Laboratories SA Pty Ltd	703108001	G03FA	S4	Femoston 1/10	Dydrogesterone	10 mg TAB	28	1	179.12	19.53	29.8	228.44	8.16		Originator
X2011229	0000000125	Abbott Laboratories SA Pty Ltd	704032001	J01FA	S4	Clacee 250mg	Clarithromycin	250 mg TAB	10	1	74.8	13.2	13.2	101.2	10.12	2018-04-01	Generic
2920110163	0000000125	Abbott Laboratories SA Pty Ltd	704033001	J01FA	S4	Clacee 500mg	Clarithromycin	500 mg TAB	10	1	79.13	13.96	13.96	107.05	10.71	2018-04-01	Generic
2920110163	0000000125	Abbott Laboratories SA Pty Ltd	704033002	J01FA	S4	Clacee 500mg	Clarithromycin	500 mg TAB	14	1	110.78	19.55	19.55	149.87	10.71		Generic
30750494	0000000125	Abbott Laboratories SA Pty Ltd	705708001	C10AB	S3	Lipanthyl 200mg	Fenofibrate	200 mg CAP	30	1	275.17	28.48	45.55	349.21	11.64	2018-04-01	Originator
33120354	0000000125	Abbott Laboratories SA Pty Ltd	706443001	N06AB	S5	Faverin 100	Fluvoxamine	100 mg TAB	30	1	245.97	24.3	40.54	310.81	10.36		Originator
38560040	0000000125	Abbott Laboratories SA Pty Ltd	707452002	N07CA	S3	Serc 24	Betahistine	24 mg TAB	20	1	225.64	24.38	37.5	287.52	14.38	2018-04-01	Originator
A38710728	0000000125	Abbott Laboratories SA Pty Ltd	708096001	C09CA	S3	Teveten Plus 	Eprosartan	600 mg TAB	28	1	227.82	21.38	37.38	286.58	10.23	2018-04-01	Originator
A397130531	0000000125	Abbott Laboratories SA Pty Ltd	708279001	C09AA	S3	Mavik (was Gopten) 	Trandolapril	4 mg CAP	30	1	148.68	17.45	24.92	191.05	6.37		Originator
331130027	0000000125	Abbott Laboratories SA Pty Ltd	710256001	A08AA	S5	Ectiva 10mg	Sibutramine Hydrochloride	10 mg CAP	30	1	177.37	31.3	31.3	239.97	8	2018-04-01	Generic
331130028	0000000125	Abbott Laboratories SA Pty Ltd	710257001	A08AA	S5	Ectiva 15mg	Sibutramine Hydrochloride	15 mg CAP	30	1	206.93	36.52	36.52	279.96	9.33		Generic
34330178	0000000125	Abbott Laboratories SA Pty Ltd	710392001	R05CA	S2	Mucolator	Acetylcysteine	200 mg SAC	30	1	44.57	6.8	7.71	59.08	1.97	2018-04-01	Generic
A31727	0000000125	Abbott Laboratories SA Pty Ltd	710822112	M01AE	S1	Brufen 200 	Ibuprofen	200 mg TAB	10	1	13.42	1.83	2.29	17.53	1.75	2018-04-01	Originator
A31727	0000000125	Abbott Laboratories SA Pty Ltd	710822113	M01AE	S1	Brufen 200 	Ibuprofen	200 mg TAB	20	1	26.84	3.65	4.57	35.06	1.75		Originator
H3139	0000000125	Abbott Laboratories SA Pty Ltd	710830131	M01AE	S1	Brufen 400 Extra Strength	Ibuprofen	400 mg TAB	10	1	21.91	2.98	3.73	28.62	2.86	2018-04-01	Originator
R3171	0000000125	Abbott Laboratories SA Pty Ltd	710849109	M01AE	S3	Brufen 	Ibuprofen	600 mg TAB	20	1	44.31	7.51	7.77	59.6	2.98		Originator
R3171	0000000125	Abbott Laboratories SA Pty Ltd	710849125	M01AE	S3	Brufen 	Ibuprofen	600 mg TAB	100	1	223.09	35.2	38.74	297.03	2.97	2018-04-01	Originator
Q31323	0000000125	Abbott Laboratories SA Pty Ltd	710857004	M01AE	S2	Brufen for children	Ibuprofen	100 mg/5ml SUS	100	1	38.85	6.06	6.74	51.65	0.52	2018-04-01	Originator
327130136	0000000125	Abbott Laboratories SA Pty Ltd	712382001	C02AC	S3	Cynt 0,2	Moxonidine	0.2 mg TAB	28	1	169.79	17.62	28.11	215.52	7.7		Generic
327130136	0000000125	Abbott Laboratories SA Pty Ltd	712383001	C02AC	S3	Cynt 0,4	Moxonidine	0.4 mg TAB	28	1	169.52	17.88	28.11	215.5	7.7	2018-04-01	Generic
A397130508	0000000125	Abbott Laboratories SA Pty Ltd	714624001	C09BB	S3	Tarka Bilayer	Verapamil Hcl/trandolapril	180 mg TAB	30	1	301.38	35.31	50.5	387.19	12.91		Originator
A397130547	0000000125	Abbott Laboratories SA Pty Ltd	714625001	C09BB	S3	Tarka Bilayer	Verapamil Hcl/trandolapril	240 mg TAB	30	1	301.38	35.31	50.5	387.19	12.91	2018-04-01	Originator
Q112165	0000000125	Abbott Laboratories SA Pty Ltd	715476009	A03AA	S2	Colofac 135 mg	Mebeverine	135 mg TAB	20	1	48.12	7.57	8.35	64.04	3.2	2018-04-01	Originator
Q112165	0000000125	Abbott Laboratories SA Pty Ltd	715476017	A03AA	S2	Colofac 135mg	Mebeverine	135 mg TAB	100	1	251.63	26.69	41.75	320.07	3.2		Originator
422130670	0000000125	Abbott Laboratories SA Pty Ltd	716571001	H03A0	S3	Synthroid 25 Âµg	Levothyroxine Sodium	25 Âµg TAB	90	1	46.48	2.79	7.39	56.66	0.63	2018-04-01	Originator
422130671	0000000125	Abbott Laboratories SA Pty Ltd	716574001	H03A0	S3	Synthroid 50 Âµg	Levothyroxine Sodium	50 Âµg TAB	90	1	60.62	3.64	9.64	73.89	0.82		Originator
422130673	0000000125	Abbott Laboratories SA Pty Ltd	716575001	H03A0	S3	Synthroid 88 Âµg	Levothyroxine Sodium	88 Âµg TAB	90	1	76.79	4.61	12.21	93.61	1.04	2018-04-01	Originator
422130674	0000000125	Abbott Laboratories SA Pty Ltd	716576001	H03A0	S3	Synthroid 100 Âµg	Levothyroxine Sodium	100 Âµg TAB	90	1	85.88	5.15	13.66	104.69	1.16	2018-04-01	Originator
422130675	0000000125	Abbott Laboratories SA Pty Ltd	716577001	H03A0	S3	Synthroid 112 Âµg	Levothyroxine Sodium	112 Âµg TAB	90	1	92.28	5.54	14.67	112.48	1.25		Originator
T301581	0000000125	Abbott Laboratories SA Pty Ltd	732826004	J07BB	S2	Influvac subunit 2014	Inactivated Influenza Vaccine	0.5 mg INJ	0.5	1	48.6	8.58	8.58	65.76	131.51	2018-04-01	Originator
H646Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	734071001	C08DA	S3	Isoptin 40mg 	Verapamil	40 mg TAB	100	1	84.04	12.89	14.54	111.47	1.11		Originator
H647Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	734136005	C08DA	S3	Isoptin 2ml 	Verapamil	5 mg INJ	5	1	134.19	11.16	21.8	167.15	33.43	2018-04-01	Originator
V71280	0000000125	Abbott Laboratories SA Pty Ltd	734373007	C08DA	S3	Isoptin SR	Verapamil	240 mg SRT	30	1	162.37	27.69	28.51	218.57	7.29	2018-04-01	Originator
V71280	0000000125	Abbott Laboratories SA Pty Ltd	734373015	C08DA	S3	Isoptin SR 	Verapamil	240 mg TAB	100	1	565.78	67.84	95.04	728.66	7.29		Originator
J27334	0000000125	Abbott Laboratories SA Pty Ltd	742317005	M01CC	S4	Metalcaptase 	Penicillamine	300 mg CAP	100	1	1989.6	116.98	315.99	2422.57	24.23	2018-04-01	Originator
C111059	0000000125	Abbott Laboratories SA Pty Ltd	752479016	A09AA	S1	Pankreoflat 	Dimethicone	80 mg TAB	100	1	292.5	31.1	48.54	372.13	3.72		Originator
C111059	0000000125	Abbott Laboratories SA Pty Ltd	752479016	A09AA	S1	Pankreoflat 	Pancreatin										
C111059	0000000125	Abbott Laboratories SA Pty Ltd	752479024	A09AA	S1	Pankreoflat 	Dimethicone	80 mg TAB	25	1	69.95	10.94	12.13	93.01	3.72	2018-04-01	Originator
C111059	0000000125	Abbott Laboratories SA Pty Ltd	752479024	A09AA	S1	Pankreoflat 	Pancreatin										
B1041Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	752649019	N02AA	S6	Paracodin 	Dihydrocodeine	12.1 mg/5ml SYR	100	1	19.23	3.61	3.43	26.26	0.26	2018-04-01	Originator
B1041Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	752649027	N02AA	S6	Paracodin 	Dihydrocodeine	12.1 mg/5ml SYR	200	1	38.45	6.2	6.7	51.35	0.26		Originator
F12161	0000000125	Abbott Laboratories SA Pty Ltd	757888003	N06AA	S5	Prothiaden	Dosulepin	25 mg CAP	100	1	200.71	30.24	34.64	265.59	2.66	2018-04-01	Originator
R62149	0000000125	Abbott Laboratories SA Pty Ltd	784869014	C01BC	S4	Rythmol	Propafenone	150 mg TAB	100	1	641.14	58.25	104.91	804.3	8.04	2018-04-01	Originator
R62150	0000000125	Abbott Laboratories SA Pty Ltd	784877017	C01BC	S4	Rythmol	Propafenone	300 mg TAB	100	1	1282.91	127.8	211.61	1622.31	16.22		Originator
Y3113	0000000125	Abbott Laboratories SA Pty Ltd	793671019	M01AE	S3	Brufe Retard	Ibuprofen	800 mg TAB	60	1	306.7	38.31	51.75	396.75	6.61	2018-04-01	Originator
S2182165	0000000125	Abbott Laboratories SA Pty Ltd	795682018	G03DB	S4	Duphaston 10Mg 	Dydrogesterone	10 mg TAB	30	1	209.41	22.92	34.85	267.18	8.91		Originator
H630Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	802638007	C01CA	S1	Phenylephrine HCL 	Phenylephrine	10 mg/ml INJ	10	1	682.05	55.25	110.59	847.89	84.79	2018-04-01	Originator
H630Act101of1965	0000000125	Abbott Laboratories SA Pty Ltd	802638008	C01CA	S1	Phenylephedrine	Phenylephrine Hcl	10 mg/ml INJ	5	1	341.02	27.63	55.3	423.94	84.79	2018-04-01	Originator
287130261	0000000125	Abbott Laboratories SA Pty Ltd	805033017	C09AA	S3	Mavik (was Gopten) 	Trandolapril	0.5 mg CAP	30	1	143.77	16.05	23.97	183.79	6.13		Originator
287130263	0000000125	Abbott Laboratories SA Pty Ltd	805068015	C09AA	S3	Mavik (was Gopten) 	Trandolapril	2 mg CAP	30	1	142.16	17.65	23.97	183.79	6.13	2018-04-01	Originator
X1260	0000000125	Abbott Laboratories SA Pty Ltd	805203028	N06AB	S5	Luvox 100	Fluvoxamine	100 mg TAB	30	1	358.11	37.11	59.28	454.5	15.15		Generic
27710519	0000000125	Abbott Laboratories SA Pty Ltd	806358009	G04CA	S4	Hytrin 	Terazosin	1 mg TAB	10	1	91.38	9.98	15.2	116.56	11.66	2018-04-01	Originator
27710520	0000000125	Abbott Laboratories SA Pty Ltd	806366028	G04CA	S4	Hytrin 	Terazosin	2 mg TAB	28	1	208.86	23.11	34.79	266.76	9.53	2018-04-01	Originator
27710521	0000000125	Abbott Laboratories SA Pty Ltd	806374004	G04CA	S4	Hytrin 	Terazosin	5 mg TAB	28	1	381.07	41.66	63.41	486.14	17.36		Originator
